"time","power","units","fan 0","fan 1","fan 2","temp 0","temp 1","temp 2","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s",
"20/03/2022 18:15:00",300,3,60,50,47,51,52,64,21223734,28328170,27215201,
"20/03/2022 18:20:00",300,3,60,50,47,51,52,64,21242498,28328232,27238696,
"20/03/2022 18:25:00",300,3,60,49,47,51,52,64,21224943,28365308,27229006,
"20/03/2022 18:30:00",300,3,60,50,47,51,52,64,21220718,28318624,27224116,
"20/03/2022 18:35:00",300,3,60,50,47,51,52,64,21236443,28324941,27234638,
"20/03/2022 18:40:00",299,3,60,48,47,51,52,64,21249143,28344315,27233019,
"20/03/2022 18:45:00",298,3,60,50,47,51,52,64,21232220,28361257,27231397,
"20/03/2022 18:50:00",302,3,60,50,47,51,52,64,21243697,28340262,27232208,
"20/03/2022 18:55:00",300,3,60,48,47,51,52,64,21260663,28371777,27228970,
"20/03/2022 19:00:00",302,3,60,50,47,51,52,64,21237033,28352388,27221675,
"20/03/2022 19:05:00",302,3,60,50,47,51,52,64,21235829,28339450,27229780,
"20/03/2022 19:10:00",300,3,60,50,47,51,52,64,21243670,28358020,27217639,
"20/03/2022 19:15:00",298,3,60,50,47,51,52,64,21250342,28325703,27206368,
"20/03/2022 19:20:00",300,3,60,50,47,51,52,64,21243068,28381499,27221693,
"20/03/2022 19:25:00",300,3,60,50,47,51,52,64,21214096,28350751,27229777,
"20/03/2022 19:30:00",300,3,60,50,47,51,52,64,21246702,28375017,27226544,
"20/03/2022 19:35:00",296,3,60,50,47,51,52,64,21218292,28310438,27224922,
"20/03/2022 19:40:00",299,3,60,50,47,51,52,64,21257026,28322507,27227354,
"20/03/2022 19:45:00",302,3,60,50,47,51,52,64,21255860,28351547,27231401,
"20/03/2022 19:50:00",299,3,60,50,47,51,52,64,21225618,28336212,27222496,
"20/03/2022 19:55:00",300,3,60,50,47,51,52,64,21249138,28359686,27213603,
"20/03/2022 20:00:00",302,3,60,50,47,51,51,64,21254589,28355619,27208736,
"20/03/2022 20:05:00",298,3,60,48,47,51,52,64,21260679,28363682,27220065,
"20/03/2022 20:10:00",298,3,60,50,47,51,52,64,21207480,28349934,27230592,
"20/03/2022 20:15:00",300,3,60,50,47,51,52,64,21254570,28347547,27214417,
"20/03/2022 20:20:00",288,3,60,50,47,51,52,64,21217128,28335439,27221686,
"20/03/2022 20:25:00",298,3,60,50,47,51,52,64,21231013,28357223,27224107,
"20/03/2022 20:30:00",299,3,60,50,47,51,52,64,21236448,28372588,27223304,
"20/03/2022 20:35:00",301,3,60,50,47,51,52,64,21243080,28364500,27224115,
"20/03/2022 20:40:00",298,3,60,100,47,51,52,64,21217120,28304787,27220878,
"20/03/2022 20:45:00",297,3,60,50,47,51,52,64,21232817,28356419,27223301,
"20/03/2022 20:50:00",302,3,60,48,47,51,52,64,21231580,28360444,27218479,
"20/03/2022 20:55:00",298,3,60,50,47,51,52,64,21245526,28359638,27217643,
"20/03/2022 21:00:00",300,3,60,50,47,51,52,64,21238822,28335395,27224919,
"20/03/2022 21:05:00",298,3,60,50,47,51,52,64,21249717,28330592,27225728,
"20/03/2022 21:10:00",298,3,60,50,47,50,51,63,21234620,28316888,27216828,
"20/03/2022 21:15:00",275,3,60,50,47,51,52,64,21250974,28338642,27215209,
"20/03/2022 21:20:00",298,3,60,50,47,51,52,64,21249133,28331466,27231397,
"20/03/2022 21:25:00",300,3,60,50,47,51,52,64,21223106,28337075,27208750,
"20/03/2022 21:30:00",302,3,60,50,47,51,52,64,21235235,28345950,27216023,
"20/03/2022 21:35:00",300,3,60,50,47,51,52,64,21237634,28352365,27220892,
"20/03/2022 21:40:00",299,3,60,50,47,51,52,64,21244325,28333023,27222493,
"20/03/2022 21:45:00",301,3,60,50,47,51,52,64,21257646,28366149,27228163,
"20/03/2022 21:50:00",301,3,60,50,47,51,52,64,21254592,28363685,27228977,
"20/03/2022 21:55:00",300,3,60,50,47,51,52,64,21240057,28349934,27234639,
"20/03/2022 22:00:00",302,3,60,50,47,51,52,64,21214913,28366931,27222494,
"20/03/2022 22:05:00",296,3,60,49,47,51,52,64,21244875,28331439,27228171,
"20/03/2022 22:10:00",300,3,60,50,47,51,52,64,21239492,28363699,27218444,
"20/03/2022 22:15:00",299,3,60,50,47,51,52,64,21261241,28363699,27228969,
"20/03/2022 22:20:00",304,3,60,50,47,51,52,64,21246154,28358860,27228158,
"20/03/2022 22:25:00",298,3,60,50,47,51,52,64,21250939,28355594,27212779,
"20/03/2022 22:30:00",300,3,60,50,47,51,52,64,21260637,28370160,27237884,
"20/03/2022 22:35:00",302,3,60,50,47,51,52,64,21229790,28360457,27236261,
"20/03/2022 22:40:00",295,3,60,50,47,51,52,64,21251536,28374214,27237071,
"20/03/2022 22:45:00",300,3,60,50,47,51,52,64,21226760,28324946,27225742,
"20/03/2022 22:50:00",300,3,60,50,47,51,52,64,21234618,28334591,27225725,
"20/03/2022 22:55:00",300,3,60,50,47,51,52,64,21248513,28351554,27221688,
"20/03/2022 23:00:00",300,3,60,50,47,51,52,64,21244889,28342701,27228969,
"20/03/2022 23:05:00",303,3,60,50,47,51,52,64,21255213,28338703,27224109,
"20/03/2022 23:10:00",298,3,60,50,47,51,52,64,21245514,28341054,27215207,
"20/03/2022 23:15:00",301,3,60,50,47,51,52,64,21222020,28357227,27234639,
"20/03/2022 23:20:00",301,3,60,50,47,51,52,64,21260020,28377463,27233830,
"20/03/2022 23:25:00",301,3,60,50,47,51,52,64,21254002,28369356,27228968,
"20/03/2022 23:30:00",302,3,60,50,47,51,52,64,21249718,28360452,27234639,
"20/03/2022 23:35:00",302,3,60,50,47,51,52,64,21233484,28367733,27236261,
"20/03/2022 23:40:00",301,3,60,50,47,51,52,64,21235207,28300002,27214399,
"20/03/2022 23:45:00",297,3,60,50,47,51,52,64,21250991,28318452,27223298,
"20/03/2022 23:50:00",301,3,60,50,47,51,52,64,21237063,28354790,27225733,
"20/03/2022 23:55:00",299,3,60,50,47,51,52,64,21237732,28337046,27216024,
"21/03/2022 00:00:00",301,3,60,50,47,51,52,64,21252153,28319293,27224109,
"21/03/2022 00:05:00",298,3,60,50,47,51,52,64,21265494,28359641,27222488,
"21/03/2022 00:10:00",298,3,60,50,47,51,52,64,21249126,28366113,27232209,
"21/03/2022 00:15:00",302,3,60,49,47,51,52,64,21233379,28327343,27216012,
"21/03/2022 00:20:00",298,3,60,50,47,51,52,64,21237112,28336218,27219265,
"21/03/2022 00:25:00",299,3,60,50,47,51,52,64,21260661,28365330,27224109,
"21/03/2022 00:30:00",300,3,60,50,47,51,52,64,21253385,28335408,27221688,
"21/03/2022 00:35:00",301,3,60,50,47,51,52,64,21244898,28348342,27216825,
"21/03/2022 00:40:00",300,3,60,50,47,51,52,64,21255183,28316095,27237882,
"21/03/2022 00:45:00",302,3,60,50,47,51,52,64,21243687,28302428,27212773,
"21/03/2022 00:50:00",304,3,60,50,47,51,52,64,21257617,28367747,27235454,
"21/03/2022 00:55:00",300,3,60,50,47,51,52,64,21227938,28331415,27224114,
"21/03/2022 01:00:00",302,3,60,50,47,51,52,64,21245504,28362879,27217644,
"21/03/2022 01:05:00",299,3,60,50,47,51,52,64,21252770,28353185,27211175,
"21/03/2022 01:10:00",302,3,60,50,47,51,52,64,21227356,28344327,27235453,
"21/03/2022 01:15:00",299,3,60,48,47,51,52,64,21240673,28359647,27229778,
"21/03/2022 01:20:00",300,3,60,50,47,51,52,64,21240662,28331436,27218444,
"21/03/2022 01:25:00",297,3,60,50,47,51,52,64,21229775,28360451,27216015,
"21/03/2022 01:30:00",298,3,60,50,47,51,52,64,21267921,28354800,27224108,
"21/03/2022 01:35:00",299,3,60,50,47,51,52,64,21234026,28340335,27228160,
"21/03/2022 01:40:00",298,3,60,50,47,51,52,64,21249729,28349963,27231401,
"21/03/2022 01:45:00",301,3,60,50,47,51,52,64,21224339,28356411,27222494,
"21/03/2022 01:50:00",301,3,60,50,47,51,52,64,21249177,28363684,27219268,
"21/03/2022 01:55:00",304,3,60,50,47,51,52,64,21242494,28343514,27216820,
"21/03/2022 02:00:00",301,3,60,48,47,51,52,64,21245508,28350766,27221680,
"21/03/2022 02:05:00",300,3,60,50,47,51,52,64,21232849,28334657,27230593,
"21/03/2022 02:10:00",300,3,60,50,47,51,52,64,21231116,28360455,27227351,
"21/03/2022 02:15:00",300,3,60,50,47,51,52,64,21238262,28347525,27228972,
"21/03/2022 02:20:00",302,3,60,50,47,51,52,64,21238895,28377451,27216830,
"21/03/2022 02:25:00",299,3,60,50,47,51,52,64,21257599,28357217,27226541,
"21/03/2022 02:30:00",296,3,60,50,47,51,52,64,21230387,28297523,27224923,
"21/03/2022 02:35:00",302,3,60,50,47,51,52,64,21233435,28328991,27225730,
"21/03/2022 02:40:00",300,3,60,50,47,51,52,64,21243701,28328159,27228163,
"21/03/2022 02:45:00",300,3,60,50,47,51,52,64,21251061,28340265,27215207,
"21/03/2022 02:50:00",301,3,60,50,47,51,52,64,21253965,28365305,27231406,
"21/03/2022 02:55:00",302,3,60,50,47,51,52,64,21247303,28354789,27231396,
"21/03/2022 03:00:00",298,3,60,50,47,51,52,64,21235247,28350751,27218444,
"21/03/2022 03:05:00",299,3,60,50,47,51,52,64,21235853,28364491,27231414,
"21/03/2022 03:10:00",299,3,60,50,47,51,52,64,21235871,28310442,27225733,
"21/03/2022 03:15:00",299,3,60,50,47,51,52,64,21256427,28351602,27232212,
"21/03/2022 03:20:00",298,3,60,50,47,51,52,64,21223144,28341049,27225741,
"21/03/2022 03:25:00",298,3,60,50,47,51,52,64,21244935,28361256,27224128,
"21/03/2022 03:30:00",300,3,60,50,47,51,52,64,21223142,28336212,27228970,
"21/03/2022 03:35:00",300,3,60,50,47,51,52,64,21241322,28357229,27224924,
"21/03/2022 03:40:00",300,3,60,50,47,51,52,64,21258226,28362881,27228159,
"21/03/2022 03:45:00",302,3,60,50,47,51,52,64,21238829,28353188,27220871,
"21/03/2022 03:50:00",296,3,60,50,47,51,52,64,21250981,28346708,27233023,
