"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 1 sha256-ton H/s","Unit 2 ethash H/s","Unit 2 sha256-ton H/s","Unit 3 ethash H/s","Unit 3 sha256-ton H/s","Unit 4 ethash H/s","Unit 4 sha256-ton H/s","Unit 5 ethash H/s","Unit 5 sha256-ton H/s",
"20/03/2022 17:15:00",781,5,79,80,80,80,68,58,71,59,61,49,41360000,41570000,40950000,41500000,28620000,1094900000,1073300000,1169400000,1098600000,915940000,
"20/03/2022 17:20:00",736,5,80,80,80,80,68,58,70,59,60,49,41380000,41570000,40970000,41490000,28620000,1095500000,1073200000,1170000000,1098500000,915940000,
"20/03/2022 17:25:00",735,5,80,80,80,80,68,58,70,59,60,49,41370000,41560000,40960000,41490000,28620000,1095200000,1073100000,1169800000,1098500000,915940000,
"20/03/2022 17:30:00",735,5,79,80,80,80,68,58,70,59,60,49,41370000,41560000,40980000,41490000,28760000,1095100000,1073000000,1170300000,1098300000,920350000,
"20/03/2022 17:35:00",791,5,80,80,80,80,68,59,71,59,61,50,41360000,41560000,40950000,41500000,28620000,1095000000,1073100000,1169400000,1098800000,915940000,
"20/03/2022 17:40:00",735,5,80,80,80,80,68,58,70,59,60,49,41360000,41560000,40970000,41490000,28630000,1094800000,1073000000,1169800000,1098500000,916040000,
"20/03/2022 17:45:00",791,5,79,80,80,79,68,59,71,59,61,49,41370000,41560000,40960000,41490000,28760000,1095000000,1073100000,1169500000,1098500000,920440000,
"20/03/2022 17:50:00",735,5,80,80,80,80,68,58,70,59,60,49,41360000,41560000,40970000,41490000,28620000,1094700000,1073100000,1169900000,1098500000,915940000,
"20/03/2022 17:55:00",786,5,80,80,80,80,68,59,71,59,61,49,41370000,41550000,40950000,41490000,28620000,1095000000,1072800000,1169300000,1098400000,915940000,
"20/03/2022 18:00:00",735,5,81,80,80,80,68,58,70,59,60,50,41380000,41560000,40980000,41490000,28760000,1095400000,1073000000,1170300000,1098400000,920350000,
"20/03/2022 18:05:00",735,5,79,80,80,80,68,58,70,59,60,50,41360000,41560000,40970000,41500000,28620000,1094800000,1073100000,1170200000,1098800000,915940000,
"20/03/2022 18:10:00",735,5,80,80,80,80,68,58,70,59,60,49,41360000,41560000,40990000,41490000,28630000,1094700000,1073100000,1170600000,1098500000,916040000,
"20/03/2022 18:15:00",735,5,80,80,80,80,68,58,70,59,60,49,41360000,41560000,40980000,41500000,28620000,1094800000,1073100000,1170300000,1098700000,915940000,
"20/03/2022 18:20:00",735,5,81,80,80,80,68,58,70,59,60,49,41370000,41550000,40970000,41490000,28620000,1095100000,1072900000,1170100000,1098500000,915940000,
"20/03/2022 18:25:00",791,5,80,80,80,80,68,59,71,59,61,49,41360000,41560000,40970000,41490000,28620000,1094700000,1073000000,1170000000,1098500000,915940000,
