"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s",
"20/03/2022 17:15:00",353,5,60,60,60,60,60,49,56,50,48,44,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 17:20:00",352,5,60,60,60,60,60,48,56,50,47,44,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 17:25:00",353,5,60,60,60,60,60,48,56,49,48,44,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 17:30:00",352,5,60,60,60,60,60,49,57,49,48,44,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 17:35:00",353,5,60,60,60,60,60,49,57,49,48,44,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 17:40:00",351,5,60,60,60,60,60,49,57,49,48,44,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 17:45:00",353,5,60,60,60,60,60,49,57,50,49,44,28980000,30660000,28060000,28990000,28990000,
"20/03/2022 17:50:00",351,5,60,60,60,60,60,49,58,49,49,44,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 17:55:00",352,5,60,60,60,60,60,49,58,49,48,44,28990000,30660000,28060000,29000000,28990000,
"20/03/2022 18:00:00",353,5,60,60,60,60,60,49,58,50,49,45,28980000,30660000,28060000,28990000,28990000,
"20/03/2022 18:05:00",353,5,60,60,60,60,60,49,58,50,49,45,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 18:10:00",354,5,60,60,60,60,60,50,59,50,50,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 18:15:00",352,5,60,60,60,60,60,50,59,50,50,46,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 18:20:00",353,5,60,60,60,60,60,50,59,51,50,46,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 18:25:00",353,5,60,60,60,60,60,51,59,51,50,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 18:30:00",353,5,60,60,60,60,60,51,59,51,49,47,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 18:35:00",352,5,60,60,60,60,60,51,59,51,50,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 18:40:00",353,5,60,60,60,60,60,50,59,51,50,46,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 18:45:00",353,5,60,60,60,60,60,50,59,51,50,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 18:50:00",353,5,60,60,60,60,60,50,59,51,49,46,28980000,30660000,28060000,28990000,28990000,
"20/03/2022 18:55:00",353,5,60,60,60,60,60,50,59,51,50,46,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 19:00:00",353,5,60,60,60,60,60,50,59,51,49,46,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 19:05:00",353,5,60,60,60,60,60,50,59,50,49,46,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 19:10:00",354,5,60,60,60,60,60,50,59,50,49,46,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 19:15:00",353,5,60,60,60,60,60,49,59,51,50,45,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 19:20:00",352,5,60,60,60,60,60,50,58,50,49,45,28980000,30650000,28050000,28990000,28990000,
"20/03/2022 19:25:00",353,5,60,60,60,60,60,50,59,50,49,45,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 19:30:00",353,5,60,60,60,60,60,50,59,51,49,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 19:35:00",354,5,60,60,60,60,60,50,59,51,49,46,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 19:40:00",353,5,60,60,60,60,60,50,59,51,49,46,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 19:45:00",354,5,60,60,60,60,60,50,59,51,49,46,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 19:50:00",353,5,60,60,60,60,60,50,59,51,49,46,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 19:55:00",354,5,60,60,60,60,60,50,59,51,49,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 20:00:00",352,5,60,60,60,60,60,50,59,51,49,45,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 20:05:00",353,5,60,60,60,60,60,50,59,51,49,46,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 20:10:00",355,5,60,60,60,60,60,50,59,51,49,46,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 20:15:00",352,5,60,60,60,60,60,50,59,51,49,46,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 20:20:00",354,5,60,60,60,60,60,50,58,50,49,45,28980000,30650000,28050000,28980000,28980000,
"20/03/2022 20:25:00",352,5,60,60,60,60,60,49,58,50,49,45,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 20:30:00",354,5,60,60,60,60,60,49,58,50,48,45,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 20:35:00",353,5,60,60,60,60,60,49,58,50,49,45,28980000,30660000,28060000,28990000,28990000,
"20/03/2022 20:40:00",351,5,60,60,60,60,60,49,58,50,49,45,28990000,30660000,28050000,28990000,28990000,
"20/03/2022 20:45:00",353,5,60,60,60,60,60,49,58,50,49,45,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 20:50:00",353,5,60,60,60,60,60,49,58,50,48,45,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 20:55:00",353,5,60,60,60,60,60,49,57,50,49,45,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 21:00:00",353,5,60,60,60,60,60,49,58,50,49,45,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 21:05:00",353,5,60,60,60,60,60,49,58,50,49,45,28980000,30650000,28050000,28990000,28990000,
"20/03/2022 21:10:00",350,5,60,60,60,60,60,49,58,50,49,46,28990000,30660000,28060000,28990000,28990000,
"20/03/2022 21:15:00",353,5,60,60,60,60,60,50,58,50,49,45,28980000,30660000,28050000,28990000,28990000,
"20/03/2022 21:20:00",354,5,60,60,60,60,60,50,58,51,49,46,28980000,30650000,28050000,28990000,28980000,
"20/03/2022 21:25:00",353,5,60,60,60,60,60,49,58,51,49,46,28980000,30650000,28050000,28990000,28980000,
