"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s",
"18/03/2022 16:45:00",350,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28990000,28940000,28980000,
"18/03/2022 16:50:00",349,5,47,80,48,48,48,42,50,42,48,47,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 16:55:00",350,5,47,80,48,48,48,42,51,42,48,46,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 17:00:00",350,5,47,80,48,48,48,42,51,42,48,46,27900000,30760000,28980000,28940000,28990000,
"18/03/2022 17:05:00",350,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28980000,28930000,28990000,
"18/03/2022 17:10:00",351,5,47,80,48,48,48,43,51,42,49,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 17:15:00",350,5,47,80,48,48,48,43,51,43,50,48,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 17:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 18:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 19:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 20:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:25:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:30:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:35:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:40:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:45:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:50:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 21:55:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:00:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:05:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:10:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:15:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 22:20:31","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
